9999;COMORBILIDAD EN VACUNACIÓN;CX;Diagnóstico (CIEX);1
A000;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE;CX;Diagnóstico (CIEX);1
A001;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR;CX;Diagnóstico (CIEX);1
A009;COLERA;CX;Diagnóstico (CIEX);1
A0090;SOSPECHOSO DE COLERA;CX;Diagnóstico (CIEX);0
A0091;SOSPECHOSO DE COLERA NO ESPECIFICADO SIN DESHIDRATACION;CX;Diagnóstico (CIEX);0
A0092;SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION;CX;Diagnóstico (CIEX);0
A0093;SOSPECHOSOS DE COLERA NO ESPECIFICADO CON DESHIDRATACION CON SHOCK;CX;Diagnóstico (CIEX);0
A010;FIEBRE TIFOIDEA;CX;Diagnóstico (CIEX);1
A0109;FIEBRE TIFOIDEA CON DIARREA;CX;Diagnóstico (CIEX);1
A011;FIEBRE PARATIFOIDEA A;CX;Diagnóstico (CIEX);1
A012;FIEBRE PARATIFOIDEA B;CX;Diagnóstico (CIEX);1
A013;FIEBRE PARATIFOIDEA C;CX;Diagnóstico (CIEX);1
A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA;CX;Diagnóstico (CIEX);1
A020;ENTERITIS DEBIDA A SALMONELLA;CX;Diagnóstico (CIEX);1
A021;SEPTICEMIA DEBIDA A SALMONELLA;CX;Diagnóstico (CIEX);1
A022;INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA;CX;Diagnóstico (CIEX);1
A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA;CX;Diagnóstico (CIEX);1
A029;INFECCION DEBIDA A SALMONELA, NO ESPECIFICADA;CX;Diagnóstico (CIEX);1
A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE;CX;Diagnóstico (CIEX);1
A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI;CX;Diagnóstico (CIEX);1
A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII;CX;Diagnóstico (CIEX);1
A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI;CX;Diagnóstico (CIEX);1
A038;OTRAS SHIGELOSIS;CX;Diagnóstico (CIEX);1
A039;SHIGUELLOSIS SIN ESPECIFICACION;CX;Diagnóstico (CIEX);1
A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA;CX;Diagnóstico (CIEX);1
A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA;CX;Diagnóstico (CIEX);1
A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA;CX;Diagnóstico (CIEX);1
A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA;CX;Diagnóstico (CIEX);1
A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI;CX;Diagnóstico (CIEX);1
A045;ENTERITIS DEBIDA A CAMPYLOBACTER;CX;Diagnóstico (CIEX);1
A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA;CX;Diagnóstico (CIEX);1
A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE;CX;Diagnóstico (CIEX);1
A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS;CX;Diagnóstico (CIEX);1
A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA;CX;Diagnóstico (CIEX);1
A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA;CX;Diagnóstico (CIEX);1
